match,team1,book1,team1_odd,team2,book2,team2_odd,profit_%
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,Nordic Bet,3.25,22.72
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,Betsson,3.35,23.64
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,888sport,3.4,24.08
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,William Hill,3.3,23.19
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,Everygame,3.35,23.64
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,Coolbet,3.57,25.48
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,Parions Sport (FR),3.3,23.19
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,Matchbook,3.5,24.92
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,GTbets,3.38,23.9
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,BetOnline.ag,3.36,23.73
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (FR),2.15,Nottingham Forest,Betclic,3.33,23.46
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Pinnacle,3.39,25.05
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,1xBet,3.44,25.48
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Winamax (FR),3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,MyBookie.ag,3.28,24.06
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Tipico,3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Betfair,3.5,25.97
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Marathon Bet,3.38,24.96
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Unibet,3.45,25.56
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Nordic Bet,3.25,23.78
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Betsson,3.35,24.69
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,888sport,3.4,25.13
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,William Hill,3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Everygame,3.35,24.69
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Coolbet,3.57,26.53
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Parions Sport (FR),3.3,24.24
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Matchbook,3.5,25.97
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,GTbets,3.38,24.96
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,BetOnline.ag,3.36,24.78
Crystal Palace vs Nottingham Forest,Crystal Palace,Winamax (DE),2.2,Nottingham Forest,Betclic,3.33,24.52
Crystal Palace vs Nottingham Forest,Crystal Palace,MyBookie.ag,2.15,Nottingham Forest,Pinnacle,3.39,23.99
